C:\ProgramData\Anaconda3\python.exe D:/pycharmproject/DECRA/decra.py
use cuda: True
MNIST samples (70000, 784)
Namespace(batch_size=256, cuda=True, dataset='mnist', gamma=0.1, lr=0.001, n_clusters=10, n_input=784, n_z=10, pretrain_path='data/ae_mnist.pkl', tol=0.0001, update_interval=1)
load pretrained ae from data/ae_mnist.pkl
nmi score=0.7752
Iter 0 :Acc 0.8281 , nmi 0.7752 , ari 0.7374
Iter 1 :Acc 0.8304 , nmi 0.7817 , ari 0.7453
Iter 2 :Acc 0.8325 , nmi 0.7832 , ari 0.7472
Iter 3 :Acc 0.8375 , nmi 0.7907 , ari 0.7564
Iter 4 :Acc 0.8413 , nmi 0.7961 , ari 0.7620
Iter 5 :Acc 0.8470 , nmi 0.8053 , ari 0.7722
Iter 6 :Acc 0.8491 , nmi 0.8089 , ari 0.7762
Iter 7 :Acc 0.8522 , nmi 0.8140 , ari 0.7830
Iter 8 :Acc 0.8536 , nmi 0.8171 , ari 0.7864
Iter 9 :Acc 0.8546 , nmi 0.8193 , ari 0.7887
Iter 10 :Acc 0.8539 , nmi 0.8208 , ari 0.7895
Iter 11 :Acc 0.8538 , nmi 0.8216 , ari 0.7896
Iter 12 :Acc 0.8548 , nmi 0.8261 , ari 0.7943
Iter 13 :Acc 0.8556 , nmi 0.8254 , ari 0.7935
Iter 14 :Acc 0.8575 , nmi 0.8272 , ari 0.7950
Iter 15 :Acc 0.8601 , nmi 0.8295 , ari 0.7977
Iter 16 :Acc 0.8628 , nmi 0.8311 , ari 0.7994
Iter 17 :Acc 0.8660 , nmi 0.8350 , ari 0.8034
Iter 18 :Acc 0.8688 , nmi 0.8371 , ari 0.8055
Iter 19 :Acc 0.8705 , nmi 0.8378 , ari 0.8064
Iter 20 :Acc 0.8732 , nmi 0.8399 , ari 0.8090
Iter 21 :Acc 0.8763 , nmi 0.8425 , ari 0.8119
Iter 22 :Acc 0.8783 , nmi 0.8429 , ari 0.8126
Iter 23 :Acc 0.8812 , nmi 0.8445 , ari 0.8144
Iter 24 :Acc 0.8846 , nmi 0.8476 , ari 0.8182
Iter 25 :Acc 0.8863 , nmi 0.8481 , ari 0.8190
Iter 26 :Acc 0.8889 , nmi 0.8492 , ari 0.8208
Iter 27 :Acc 0.8915 , nmi 0.8508 , ari 0.8231
Iter 28 :Acc 0.8929 , nmi 0.8520 , ari 0.8244
Iter 29 :Acc 0.8956 , nmi 0.8533 , ari 0.8264
Iter 30 :Acc 0.8989 , nmi 0.8553 , ari 0.8295
Iter 31 :Acc 0.9007 , nmi 0.8571 , ari 0.8318
Iter 32 :Acc 0.9027 , nmi 0.8578 , ari 0.8332
Iter 33 :Acc 0.9058 , nmi 0.8599 , ari 0.8366
Iter 34 :Acc 0.9086 , nmi 0.8618 , ari 0.8395
Iter 35 :Acc 0.9107 , nmi 0.8627 , ari 0.8415
Iter 36 :Acc 0.9121 , nmi 0.8640 , ari 0.8432
Iter 37 :Acc 0.9142 , nmi 0.8649 , ari 0.8452
Iter 38 :Acc 0.9151 , nmi 0.8652 , ari 0.8461
Iter 39 :Acc 0.9163 , nmi 0.8663 , ari 0.8476
Iter 40 :Acc 0.9185 , nmi 0.8676 , ari 0.8501
Iter 41 :Acc 0.9197 , nmi 0.8683 , ari 0.8516
Iter 42 :Acc 0.9209 , nmi 0.8698 , ari 0.8535
Iter 43 :Acc 0.9223 , nmi 0.8710 , ari 0.8551
Iter 44 :Acc 0.9240 , nmi 0.8718 , ari 0.8572
Iter 45 :Acc 0.9267 , nmi 0.8739 , ari 0.8607
Iter 46 :Acc 0.9275 , nmi 0.8746 , ari 0.8617
Iter 47 :Acc 0.9290 , nmi 0.8754 , ari 0.8637
Iter 48 :Acc 0.9301 , nmi 0.8765 , ari 0.8654
Iter 49 :Acc 0.9315 , nmi 0.8777 , ari 0.8673
Iter 50 :Acc 0.9330 , nmi 0.8792 , ari 0.8699
Iter 51 :Acc 0.9331 , nmi 0.8792 , ari 0.8700
Iter 52 :Acc 0.9338 , nmi 0.8798 , ari 0.8709
Iter 53 :Acc 0.9348 , nmi 0.8807 , ari 0.8725
Iter 54 :Acc 0.9353 , nmi 0.8814 , ari 0.8731
Iter 55 :Acc 0.9357 , nmi 0.8813 , ari 0.8734
Iter 56 :Acc 0.9368 , nmi 0.8826 , ari 0.8753
Iter 57 :Acc 0.9376 , nmi 0.8831 , ari 0.8765
Iter 58 :Acc 0.9392 , nmi 0.8846 , ari 0.8789
Iter 59 :Acc 0.9391 , nmi 0.8843 , ari 0.8786
Iter 60 :Acc 0.9405 , nmi 0.8856 , ari 0.8807
Iter 61 :Acc 0.9405 , nmi 0.8862 , ari 0.8808
Iter 62 :Acc 0.9395 , nmi 0.8858 , ari 0.8792
Iter 63 :Acc 0.9403 , nmi 0.8860 , ari 0.8803
Iter 64 :Acc 0.9410 , nmi 0.8866 , ari 0.8815
Iter 65 :Acc 0.9426 , nmi 0.8885 , ari 0.8844
Iter 66 :Acc 0.9432 , nmi 0.8888 , ari 0.8852
Iter 67 :Acc 0.9439 , nmi 0.8895 , ari 0.8864
Iter 68 :Acc 0.9450 , nmi 0.8908 , ari 0.8883
Iter 69 :Acc 0.9454 , nmi 0.8909 , ari 0.8888
Iter 70 :Acc 0.9464 , nmi 0.8925 , ari 0.8906
Iter 71 :Acc 0.9461 , nmi 0.8917 , ari 0.8900
Iter 72 :Acc 0.9465 , nmi 0.8925 , ari 0.8908
Iter 73 :Acc 0.9467 , nmi 0.8932 , ari 0.8912
Iter 74 :Acc 0.9476 , nmi 0.8938 , ari 0.8926
Iter 75 :Acc 0.9484 , nmi 0.8947 , ari 0.8939
Iter 76 :Acc 0.9481 , nmi 0.8943 , ari 0.8934
Iter 77 :Acc 0.9485 , nmi 0.8951 , ari 0.8940
Iter 78 :Acc 0.9487 , nmi 0.8953 , ari 0.8944
Iter 79 :Acc 0.9491 , nmi 0.8957 , ari 0.8950
Iter 80 :Acc 0.9496 , nmi 0.8966 , ari 0.8959
Iter 81 :Acc 0.9504 , nmi 0.8974 , ari 0.8974
Iter 82 :Acc 0.9507 , nmi 0.8978 , ari 0.8979
Iter 83 :Acc 0.9510 , nmi 0.8984 , ari 0.8985
Iter 84 :Acc 0.9506 , nmi 0.8982 , ari 0.8979
Iter 85 :Acc 0.9513 , nmi 0.8989 , ari 0.8990
Iter 86 :Acc 0.9516 , nmi 0.8986 , ari 0.8995
Iter 87 :Acc 0.9523 , nmi 0.8997 , ari 0.9008
Iter 88 :Acc 0.9523 , nmi 0.8996 , ari 0.9007
Iter 89 :Acc 0.9530 , nmi 0.9006 , ari 0.9021
Iter 90 :Acc 0.9541 , nmi 0.9014 , ari 0.9039
Iter 91 :Acc 0.9545 , nmi 0.9022 , ari 0.9048
Iter 92 :Acc 0.9548 , nmi 0.9028 , ari 0.9053
Iter 93 :Acc 0.9555 , nmi 0.9037 , ari 0.9065
Iter 94 :Acc 0.9554 , nmi 0.9040 , ari 0.9065
Iter 95 :Acc 0.9556 , nmi 0.9041 , ari 0.9068
Iter 96 :Acc 0.9561 , nmi 0.9052 , ari 0.9077
Iter 97 :Acc 0.9564 , nmi 0.9051 , ari 0.9083
Iter 98 :Acc 0.9563 , nmi 0.9050 , ari 0.9080
Iter 99 :Acc 0.9565 , nmi 0.9056 , ari 0.9085
Iter 100 :Acc 0.9563 , nmi 0.9052 , ari 0.9081
Iter 101 :Acc 0.9568 , nmi 0.9062 , ari 0.9091
Iter 102 :Acc 0.9562 , nmi 0.9055 , ari 0.9080
Iter 103 :Acc 0.9574 , nmi 0.9074 , ari 0.9103
Iter 104 :Acc 0.9575 , nmi 0.9071 , ari 0.9104
Iter 105 :Acc 0.9573 , nmi 0.9069 , ari 0.9101
Iter 106 :Acc 0.9568 , nmi 0.9058 , ari 0.9090
Iter 107 :Acc 0.9569 , nmi 0.9060 , ari 0.9092
Iter 108 :Acc 0.9571 , nmi 0.9066 , ari 0.9097
Iter 109 :Acc 0.9573 , nmi 0.9071 , ari 0.9100
Iter 110 :Acc 0.9570 , nmi 0.9068 , ari 0.9095
Iter 111 :Acc 0.9569 , nmi 0.9068 , ari 0.9094
Iter 112 :Acc 0.9574 , nmi 0.9077 , ari 0.9103
Iter 113 :Acc 0.9575 , nmi 0.9076 , ari 0.9104
Iter 114 :Acc 0.9577 , nmi 0.9079 , ari 0.9109
Iter 115 :Acc 0.9582 , nmi 0.9083 , ari 0.9117
Iter 116 :Acc 0.9588 , nmi 0.9093 , ari 0.9129
Iter 117 :Acc 0.9589 , nmi 0.9091 , ari 0.9131
Iter 118 :Acc 0.9591 , nmi 0.9093 , ari 0.9135
Iter 119 :Acc 0.9594 , nmi 0.9096 , ari 0.9141
Iter 120 :Acc 0.9589 , nmi 0.9092 , ari 0.9130
Iter 121 :Acc 0.9586 , nmi 0.9088 , ari 0.9123
Iter 122 :Acc 0.9587 , nmi 0.9090 , ari 0.9127
Iter 123 :Acc 0.9587 , nmi 0.9088 , ari 0.9126
Iter 124 :Acc 0.9586 , nmi 0.9089 , ari 0.9125
Iter 125 :Acc 0.9585 , nmi 0.9087 , ari 0.9122
Iter 126 :Acc 0.9586 , nmi 0.9091 , ari 0.9125
Iter 127 :Acc 0.9585 , nmi 0.9089 , ari 0.9124
Iter 128 :Acc 0.9591 , nmi 0.9099 , ari 0.9135
Iter 129 :Acc 0.9590 , nmi 0.9095 , ari 0.9132
Iter 130 :Acc 0.9587 , nmi 0.9090 , ari 0.9126
Iter 131 :Acc 0.9589 , nmi 0.9095 , ari 0.9131
Iter 132 :Acc 0.9589 , nmi 0.9092 , ari 0.9131
Iter 133 :Acc 0.9586 , nmi 0.9091 , ari 0.9126
Iter 134 :Acc 0.9591 , nmi 0.9098 , ari 0.9135
Iter 135 :Acc 0.9591 , nmi 0.9097 , ari 0.9135
Iter 136 :Acc 0.9591 , nmi 0.9100 , ari 0.9135
Iter 137 :Acc 0.9587 , nmi 0.9094 , ari 0.9127
Iter 138 :Acc 0.9589 , nmi 0.9095 , ari 0.9131
Iter 139 :Acc 0.9590 , nmi 0.9095 , ari 0.9133
Iter 140 :Acc 0.9593 , nmi 0.9101 , ari 0.9139
Iter 141 :Acc 0.9594 , nmi 0.9101 , ari 0.9140
Iter 142 :Acc 0.9593 , nmi 0.9099 , ari 0.9139
Iter 143 :Acc 0.9597 , nmi 0.9105 , ari 0.9146
Iter 144 :Acc 0.9593 , nmi 0.9098 , ari 0.9139
Iter 145 :Acc 0.9594 , nmi 0.9100 , ari 0.9140
Iter 146 :Acc 0.9594 , nmi 0.9102 , ari 0.9141
Iter 147 :Acc 0.9598 , nmi 0.9104 , ari 0.9147
Iter 148 :Acc 0.9598 , nmi 0.9103 , ari 0.9147
Iter 149 :Acc 0.9598 , nmi 0.9105 , ari 0.9149
Iter 150 :Acc 0.9599 , nmi 0.9105 , ari 0.9149
Iter 151 :Acc 0.9593 , nmi 0.9099 , ari 0.9139
Iter 152 :Acc 0.9592 , nmi 0.9096 , ari 0.9135
Iter 153 :Acc 0.9596 , nmi 0.9104 , ari 0.9144
Iter 154 :Acc 0.9595 , nmi 0.9101 , ari 0.9141
Iter 155 :Acc 0.9597 , nmi 0.9106 , ari 0.9145
Iter 156 :Acc 0.9598 , nmi 0.9107 , ari 0.9148
Iter 157 :Acc 0.9602 , nmi 0.9112 , ari 0.9156
Iter 158 :Acc 0.9601 , nmi 0.9111 , ari 0.9154
Iter 159 :Acc 0.9600 , nmi 0.9109 , ari 0.9152
Iter 160 :Acc 0.9601 , nmi 0.9111 , ari 0.9153
Iter 161 :Acc 0.9601 , nmi 0.9110 , ari 0.9154
Iter 162 :Acc 0.9597 , nmi 0.9104 , ari 0.9145
Iter 163 :Acc 0.9600 , nmi 0.9109 , ari 0.9151
Iter 164 :Acc 0.9599 , nmi 0.9107 , ari 0.9149
Iter 165 :Acc 0.9600 , nmi 0.9111 , ari 0.9152
Iter 166 :Acc 0.9603 , nmi 0.9113 , ari 0.9158
Iter 167 :Acc 0.9602 , nmi 0.9115 , ari 0.9156
Iter 168 :Acc 0.9598 , nmi 0.9109 , ari 0.9149
Iter 169 :Acc 0.9604 , nmi 0.9117 , ari 0.9160
Iter 170 :Acc 0.9605 , nmi 0.9119 , ari 0.9162
Iter 171 :Acc 0.9605 , nmi 0.9118 , ari 0.9162
Iter 172 :Acc 0.9605 , nmi 0.9116 , ari 0.9161
Iter 173 :Acc 0.9606 , nmi 0.9118 , ari 0.9163
Iter 174 :Acc 0.9605 , nmi 0.9117 , ari 0.9162
Iter 175 :Acc 0.9603 , nmi 0.9114 , ari 0.9158
Iter 176 :Acc 0.9605 , nmi 0.9119 , ari 0.9162
Iter 177 :Acc 0.9605 , nmi 0.9115 , ari 0.9162
Iter 178 :Acc 0.9604 , nmi 0.9116 , ari 0.9160
Iter 179 :Acc 0.9601 , nmi 0.9110 , ari 0.9153
Iter 180 :Acc 0.9603 , nmi 0.9115 , ari 0.9157
Iter 181 :Acc 0.9604 , nmi 0.9116 , ari 0.9160
Iter 182 :Acc 0.9606 , nmi 0.9119 , ari 0.9164
Iter 183 :Acc 0.9604 , nmi 0.9116 , ari 0.9160
Iter 184 :Acc 0.9607 , nmi 0.9119 , ari 0.9165
Iter 185 :Acc 0.9607 , nmi 0.9119 , ari 0.9165
Iter 186 :Acc 0.9605 , nmi 0.9115 , ari 0.9162
Iter 187 :Acc 0.9602 , nmi 0.9112 , ari 0.9155
Iter 188 :Acc 0.9602 , nmi 0.9113 , ari 0.9156
Iter 189 :Acc 0.9604 , nmi 0.9116 , ari 0.9159
Iter 190 :Acc 0.9607 , nmi 0.9121 , ari 0.9166
Iter 191 :Acc 0.9605 , nmi 0.9118 , ari 0.9162
Iter 192 :Acc 0.9607 , nmi 0.9120 , ari 0.9166
Iter 193 :Acc 0.9608 , nmi 0.9122 , ari 0.9168
Iter 194 :Acc 0.9608 , nmi 0.9121 , ari 0.9168
Iter 195 :Acc 0.9608 , nmi 0.9122 , ari 0.9168
Iter 196 :Acc 0.9611 , nmi 0.9125 , ari 0.9173
Iter 197 :Acc 0.9609 , nmi 0.9122 , ari 0.9169
Iter 198 :Acc 0.9609 , nmi 0.9123 , ari 0.9170
Iter 199 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
Iter 200 :Acc 0.9609 , nmi 0.9125 , ari 0.9171
Iter 201 :Acc 0.9608 , nmi 0.9121 , ari 0.9168
Iter 202 :Acc 0.9609 , nmi 0.9124 , ari 0.9169
Iter 203 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
Iter 204 :Acc 0.9608 , nmi 0.9121 , ari 0.9168
Iter 205 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
Iter 206 :Acc 0.9608 , nmi 0.9123 , ari 0.9167
Iter 207 :Acc 0.9607 , nmi 0.9121 , ari 0.9166
Iter 208 :Acc 0.9609 , nmi 0.9123 , ari 0.9169
Iter 209 :Acc 0.9607 , nmi 0.9120 , ari 0.9166
Iter 210 :Acc 0.9607 , nmi 0.9121 , ari 0.9165
